"AUC","Accuracy","Sensitivity","Specificity","F1"
0.929663116880988,0.947359536056881,0.973366883897143,0.885959349864833,0.96293292124382
0.916412725385761,0.941649619669917,0.978738743832963,0.854086706938558,0.959292256106854
0.931028491546459,0.947885841393418,0.972660060221377,0.889396922871542,0.963264220414678
0.691072244731686,0.809070326309309,0.982484909314522,0.39965958014885,0.878484708678039
0.899397778443586,0.913447597863002,0.934095760471593,0.864699796415579,0.938127351458792
0.929807187611664,0.947210581716351,0.972787288483015,0.886827086740313,0.962810611148422
0.924164953642857,0.94562173541737,0.977155458799248,0.871174448486467,0.961898665479189
0.918904596480615,0.942920696709102,0.978215694312897,0.859593498648333,0.96012321012321
0.924952542710054,0.932781871263729,0.944288157876136,0.905616927543971,0.951775727567413
0.934764290689665,0.948620682806697,0.968984577107395,0.900544004271935,0.963630995894956
0.835074060629955,0.895553216420726,0.984435742659636,0.685712378600274,0.929783569435358
0.878359161472816,0.919296538301126,0.979459703982245,0.777258618963388,0.94460084935821
0.905668163827081,0.935770888363687,0.980011026449342,0.831325301204819,0.955429374715749
0.924869514577009,0.944152052590812,0.972490422539193,0.877248606614825,0.960728999371552
0.821572672303748,0.8856527179202,0.979827252293643,0.663318092313854,0.923304404585084
0.926555310628454,0.941858155746658,0.964347813794371,0.888762807462537,0.958851351826213
0.926408401091212,0.944489682429346,0.971062638714146,0.881754163468278,0.960901982178578
0.931509382878238,0.947399257214355,0.970751636296809,0.892267129459667,0.962863773074308
0.933134101183125,0.948114238048897,0.970129631462135,0.896138570904115,0.963327414249317
0.895882738147043,0.929753133006296,0.979530386349821,0.812235089944265,0.951433514582304
0.936483195614234,0.950616670969792,0.971387777604999,0.901578613623469,0.965077982907663
0.926115254092505,0.943983237671546,0.970242723250258,0.881987784934753,0.960527328579726
0.918431253439721,0.939296141089551,0.969959993779952,0.866902513099489,0.95735344388556
0.922257673827634,0.928144426128577,0.936795826913018,0.907719520742249,0.948229974529949
0.90907422499577,0.933745109332486,0.970002403200498,0.848146046791042,0.953636401539894
0.83972969868047,0.894242418224067,0.974356437043215,0.705102960317725,0.928282828282828
0.932669327403268,0.945542293102421,0.964460905582493,0.900877749224043,0.96136232333338
0.932428874542464,0.947339675478143,0.969253170104186,0.895604578980743,0.962767936755341
0.924538009956126,0.944618776191138,0.97413025346697,0.874945766445283,0.961107430524077
0.924526949131606,0.944062679986495,0.9727731520095,0.876280746253713,0.960679608261959
0.928964358350452,0.936823499036762,0.948373598722063,0.909555117978841,0.954730460522571
0.931468866545834,0.949991062739568,0.977212004693309,0.885725728398358,0.964854490892595
0.832415686712519,0.893994160989851,0.984492288553697,0.680339084871341,0.928813875792717
0.839799198487193,0.897529344005084,0.9823718175264,0.697226579447986,0.9308855146916
0.933536288171585,0.947746817342257,0.968631165269512,0.898441411073657,0.963022304675971
0.932400579185045,0.945502571944946,0.964757771526315,0.900043386843774,0.961346668544865
0.920923494188047,0.940378542630732,0.968970440633879,0.872876547742215,0.958040980627848
0.812638702705275,0.878641933625946,0.975642856133109,0.649634549277442,0.918663853633538
0.871811764334949,0.916138706281901,0.98128330906572,0.762340219604179,0.942658292310304
0.934587170296473,0.94496633631904,0.960219963527898,0.908954377065047,0.96080400588435
0.862502461291765,0.91077635002284,0.981721539744695,0.743283382838835,0.939240044090697
0.916038825734161,0.938948580961649,0.972617650800831,0.85946000066749,0.957231899382269
0.92130946761376,0.943893865067228,0.977084776431671,0.865534158795848,0.960732802357422
0.920222960990584,0.928164286707315,0.939835168718811,0.900610753262357,0.948402282453638
0.931657313385633,0.949931481003356,0.97678791048785,0.886526716283416,0.964799352118183
0.930544287723256,0.946962324482135,0.971090911661177,0.889997663785335,0.962579433752076
0.9162009071049,0.938392484757006,0.971006092820085,0.861395721389714,0.956790639364814
0.911016474690018,0.938541439097535,0.978993200356239,0.843039749023796,0.957227271156571
0.914364940214835,0.93748882842446,0.971472596446091,0.85725728398358,0.956204735036908
0.890006956312197,0.925403666262835,0.977424051796039,0.802589860828355,0.948475952701034
0.89977929526853,0.930348950368414,0.975275307821711,0.824283282715349,0.951625584506945
0.924386907788911,0.94344700204564,0.971458459972575,0.877315355605246,0.960212386907465
0.882690467170592,0.922543742924669,0.981113671383537,0.784267262957648,0.946796174781387
0.902959084870709,0.933735179043117,0.978964927409208,0.82695324233221,0.954034785603582
0.906060286899492,0.92529443307978,0.953561684502184,0.858558889296799,0.947181442242208
0.91057808878961,0.938263390995214,0.978950790935693,0.842205386643527,0.957040292432817
0.934118183127545,0.949713014637247,0.972631787274347,0.895604578980743,0.964505502207892
0.926740046543699,0.946793509562869,0.976264860967783,0.877215232119614,0.962656295738719
0.832068699815274,0.8930607137892,0.982696956417252,0.681440443213296,0.928110334514917
0.880119307646906,0.921431550515382,0.982145633950155,0.778092981343657,0.946127029088136
0.893662742109455,0.923566562729638,0.967514383861802,0.819811100357107,0.946762669543986
0.87040403945954,0.916039403388215,0.983106914149196,0.757701164769883,0.942694672061704
0.926019921712188,0.944579055033664,0.971854281231004,0.880185562193372,0.960993031724176
0.910619522060782,0.936753987011182,0.975162216033588,0.846076828087975,0.955872877304566
0.915922895139472,0.941272268673909,0.978526696730234,0.85331909354871,0.95903127034928
0.921065916693572,0.944430100693134,0.978767016779994,0.863364816607149,0.961157770528216
0.902994403644108,0.931987448114238,0.974596757092976,0.831392050195241,0.952678380189729
0.921480959932575,0.935175071001569,0.955300470744568,0.887661449120582,0.95392498694259
0.877356817656076,0.91926674743302,0.980859214860261,0.773854420451891,0.944656228727025
0.924830417647888,0.945502571944946,0.975883176182869,0.873777659112906,0.961770483581091
0.776594913584164,0.859436753987011,0.981184353751113,0.572005473417215,0.907466121029476
0.930741673477565,0.947766677920995,0.972787288483015,0.888696058472116,0.963187951402497
0.934374081464493,0.950626601259161,0.974511938251884,0.894236224677102,0.965192797737392
0.931703123287868,0.945671386864213,0.966199691824877,0.897206554750859,0.961517089057235
0.918588551725705,0.942990208734683,0.978851835621086,0.858325267830324,0.960194693087979
0.839432019829267,0.896824293459911,0.981170217277598,0.697693822380936,0.930363797217233
0.897546220527797,0.927995471788048,0.972744879062469,0.822347561993125,0.949949265908761
0.927672024804996,0.938034994339735,0.953264818558362,0.90207923105163,0.955777925814636
0.915301347948536,0.934479950745765,0.962665573446048,0.867937122451023,0.953793576760928
0.91177462429045,0.938660602569959,0.978173284892351,0.845375963688549,0.957272406565814
0.919198638007699,0.942712160632361,0.97726855058737,0.861128725428028,0.959946122709694
0.890917548928816,0.889316994697225,0.886964757771526,0.894870340086106,0.9184232097898
0.917500529688421,0.929326130563445,0.946705494847255,0.888295564529586,0.949544503916912
0.930198240175167,0.948908661198387,0.976406225702936,0.883990254647398,0.964092542834211
0.914942189615061,0.920637127365891,0.929006630006079,0.900877749224043,0.942679270724255
0.908246980391014,0.915920239915791,0.927197161396118,0.889296799385909,0.939367682337355
0.933986511003675,0.946892812456555,0.96586041646051,0.902112605546841,0.962336967238514
0.917393760460842,0.937568270739409,0.96721751791798,0.867570003003705,0.956073976258847
0.928309697568415,0.946674346090445,0.973663749840965,0.882955645295865,0.962479562890401
0.930353171688152,0.94605866814959,0.969140078316063,0.891566265060241,0.961892468290493
0.754543059932103,0.84833469047288,0.98617452890202,0.522911590962187,0.901334022416745
0.919697754411581,0.941967388929713,0.974695712407583,0.864699796415579,0.959343824351964
0.92063355564938,0.93720085003277,0.961548792038338,0.879718319260421,0.955578033463986
0.930819268860467,0.948213540942583,0.973776841629087,0.887861696091847,0.963527132596183
0.920247582223667,0.933685527596274,0.953434456240546,0.887060708206788,0.95282832278481
0.885340308627209,0.92173938948581,0.975232898401165,0.795447718853252,0.945966884919955
0.926925232082121,0.94090484796727,0.961449836723731,0.89240062744051,0.958084169748195
0.905647112686949,0.922484161188457,0.947228544367322,0.864065681006575,0.944957621740541
0.92558153581178,0.944301006931342,0.971811871810458,0.879351199813103,0.96080335991167
0.840466533169975,0.898264185418363,0.983205869463804,0.697727196876147,0.931401367285583
0.934765377239694,0.946257273936963,0.963146213545569,0.906384540933818,0.961800163753917
0.917214585388807,0.939613910349348,0.972532831959739,0.861896338817875,0.957674719675931
0.813089340011617,0.881194017993684,0.98128330906572,0.644895370957514,0.920659973208483
0.931125694604529,0.948144028917003,0.973154836794413,0.889096552414645,0.963457474353053
0.9305699282752,0.944728009374193,0.965535277569658,0.895604578980743,0.960849136233189
0.920667951114743,0.942384461083196,0.974299891149154,0.867036011080332,0.959608476511375
0.932753813391106,0.944539333876189,0.961859794455675,0.903647832326536,0.960576563349263
0.882818769007823,0.876695596909694,0.867696744370149,0.897940793645496,0.908142657404736
0.873457509718288,0.91542372544736,0.977098912905187,0.769816106531389,0.94196449865422
0.920693029991564,0.941987249508451,0.973282065056051,0.868103994927077,0.959300543402536
0.932083735912582,0.945462850787472,0.965125319837713,0.899042151987451,0.961333746374159
0.923677341317404,0.944112331433338,0.974144389940485,0.873210292694323,0.960766270704367
0.92957545121277,0.944817381978511,0.96721751791798,0.891933384507559,0.960975301445958
0.931469967485691,0.944519473297452,0.963697536012666,0.899242398958716,0.960635247201065
0.910028208136185,0.938044924629104,0.979219383932484,0.840837032339886,0.956906138405962
0.924623966537294,0.937955552024786,0.957548170033503,0.891699763041084,0.955913068021451
0.926684387157455,0.941093523465274,0.962269752187619,0.89109902212729,0.958246522889802
0.923208086875098,0.940209727711465,0.96519600220529,0.881220171544905,0.957769594950026
0.890165747601901,0.925234851343568,0.976773774014334,0.803557721189467,0.948332772901641
0.923615028168654,0.941808504299815,0.96854634642842,0.878683709908888,0.958988858406584
0.898961383293437,0.927916029473099,0.970468906826503,0.827453859760371,0.949785208807477
0.830885598281223,0.89174991559254,0.981198490224629,0.680572706337817,0.92719026977204
0.874902505665845,0.916913268852654,0.978653924991872,0.771151086339819,0.943013791929167
0.800434410250181,0.87440170006554,0.983106914149196,0.617761906351166,0.916644698687194
0.929906134905711,0.942444042819408,0.960870241309603,0.898942028501819,0.959107649324811
0.919205882224987,0.931262536990328,0.948981467083221,0.889430297366752,0.95097108696576
0.889101874764133,0.926118647097376,0.980519939495893,0.797683810032373,0.949097576661513
0.885248015095668,0.923109769418681,0.978752880306479,0.791743149884858,0.947043736962692
0.925747787402104,0.945750829179162,0.975148079560073,0.876347495244134,0.961910406135611
0.90476748132047,0.93553256141884,0.980746123072138,0.828788839568802,0.955303416273081
0.926715958206081,0.945651526285476,0.973479975685266,0.879951940726897,0.96178045936075
0.924540559078925,0.931689539433179,0.942195959795869,0.90688515836198,0.950927029012905
0.925479157605095,0.946684276379814,0.977848146001498,0.873110169208691,0.962640818854244
0.925890281856772,0.934261484379655,0.946564130112102,0.905216433601442,0.952895302338158
0.930604574972822,0.948749776568489,0.975416672556864,0.88579247738878,0.963949679032697
0.902257577175163,0.932871243868046,0.977862282475014,0.826652871875313,0.953413366780147
0.828924000164625,0.890885980417469,0.98194772332094,0.67590027700831,0.926703666150808
0.902928534792236,0.934340926694604,0.980505803022378,0.825351266562093,0.954504169763025
0.92853077959648,0.947011975928979,0.974172662887516,0.882888896305443,0.962727018720313
0.894542346347567,0.929653830112609,0.98125503611869,0.807829656576444,0.95144952367898
0.867715499506932,0.91178923953844,0.976561726911605,0.758869272102259,0.939589921452617
0.92854055382876,0.946674346090445,0.973324474476597,0.883756633180923,0.96246697513175
0.892801186962915,0.928680661754483,0.981410537327358,0.804191836598471,0.950818325001712
0.872309106071904,0.913715715675955,0.974568484145945,0.770049727997864,0.94071734132047
0.92257362422301,0.941818434589184,0.970101358515105,0.875045889930915,0.959058606497236
0.822320951661075,0.886933725248754,0.981891177426879,0.662750725895271,0.924245851685274
0.92233457637566,0.945482711366209,0.979502113402791,0.86516703934853,0.961892994974595
0.886340804176586,0.922712557843936,0.976165905653176,0.796515702699997,0.946651221133876
0.883729275521368,0.918948978173224,0.970709226876263,0.796749324166472,0.943902237862209
0.881688921871404,0.922623185239618,0.982781775258344,0.780596068484464,0.9469332715856
0.839936977088274,0.895682310182519,0.977607825951738,0.702266128224811,0.929408997748883
