"AUC","Accuracy","Sensitivity","Specificity","F1"
0.831639478348662,0.864848761692916,0.913654419768445,0.749624536928879,0.904739907049667
0.836509107780095,0.862068280669699,0.89963103804125,0.77338717751894,0.901606596395784
0.831927238833397,0.833995352624575,0.837034733315427,0.826819744351367,0.876297737884696
0.750762490964621,0.832982463108975,0.95381614102546,0.547708840903781,0.889175886085541
0.833741465051038,0.864342316935116,0.909314522399242,0.758168407702833,0.90400466590307
0.800566515956107,0.856586760938214,0.938916297940316,0.662216733971899,0.901940547807548
0.735562922369991,0.825236837401442,0.957025120513437,0.514100724226546,0.884971600750342
0.836930412717744,0.847808385136343,0.863795077679922,0.810065747755565,0.888565736472436
0.830227080789152,0.865067228059026,0.916269667368778,0.744184494209525,0.905124982544337
0.834970886972401,0.863974896228476,0.906600319484301,0.763341454460501,0.903509389836717
0.823991137343091,0.864441619828802,0.923889226593534,0.724093048092648,0.905438449442716
0.792072884556791,0.852991996186769,0.942521098686722,0.64162467042686,0.900074249071887
0.827771467816853,0.864928204007865,0.919535192750816,0.736007742882889,0.905341832758045
0.83188112179088,0.864769319377967,0.913103097301347,0.750659146280413,0.904637189955323
0.832656339379635,0.835762944132192,0.840328531644496,0.824984147114775,0.877875165218162
0.821177595070241,0.863786220730472,0.92640551887926,0.715949671261222,0.905258214016839
0.813237896122719,0.861442672439475,0.932286291861632,0.694189500383807,0.904333874982002
0.71828276380491,0.816379019284622,0.960545102418751,0.476020425191069,0.880229553006406
0.82994871356008,0.865027506901551,0.916580669786115,0.743316757334045,0.905128849429042
0.834888833337439,0.863994756807213,0.906769957166485,0.763007709508394,0.903538426864999
0.784550189167581,0.849436952592798,0.944797070922688,0.624303307412475,0.898125377947994
0.802771140117988,0.857440765823916,0.937785380059091,0.667756900176885,0.902361390717667
0.836868301262496,0.861680999384322,0.898146708322142,0.77558989420285,0.901210664056682
0.780090819890397,0.847212567774225,0.945857306436336,0.614324333344458,0.896879440229485
0.836929090976578,0.861144763758416,0.89673306097061,0.777125120982545,0.900724879482574
0.782652574835276,0.848473714524041,0.945207028654632,0.62009812101592,0.897580293318119
0.83125668460333,0.864878552561022,0.914290561076634,0.748222808130027,0.904818864149861
0.836149069308072,0.845832257551985,0.860063048671878,0.812235089944265,0.886848146933421
0.832411919644042,0.864650155905543,0.912028725314183,0.752795113973901,0.904459491665615
0.835584692199511,0.863607475521837,0.904790850874341,0.76637853352468,0.903099271216215
0.834741824486788,0.841611884570316,0.851708392824326,0.817775256149251,0.883105651969981
0.834303845040072,0.839834362773331,0.847962227342767,0.820645462737376,0.881488938036841
0.836617837326983,0.861869674882326,0.898980760259546,0.77425491439442,0.90141463967795
0.75686916586003,0.836021131655776,0.952345947779867,0.561392383940193,0.890822418660619
